// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Aplicaciones 2024\ProgramacionIV\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\f927fa1a-9e6b-402a-87ee-d07f55cabbab.bat
// ***** Done, took 00:00:05 (5.42 sec)   *****
// Found 3 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob
//   RNEntero.PrimoParalelo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Aplicaciones 2024\ProgramacionIV\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\f927fa1a-9e6b-402a-87ee-d07f55cabbab.exe --anonymousPipes 1644 1640 --benchmarkName Preyecto1.RN.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 297300.00 ns, 297.3000 us/op
WorkloadJitting  1: 1 op, 479600.00 ns, 479.6000 us/op

OverheadJitting  2: 16 op, 1199000.00 ns, 74.9375 us/op
WorkloadJitting  2: 16 op, 826600.00 ns, 51.6625 us/op

WorkloadPilot    1: 16 op, 5200.00 ns, 325.0000 ns/op
WorkloadPilot    2: 32 op, 600.00 ns, 18.7500 ns/op
WorkloadPilot    3: 64 op, 600.00 ns, 9.3750 ns/op
WorkloadPilot    4: 128 op, 1300.00 ns, 10.1563 ns/op
WorkloadPilot    5: 256 op, 1600.00 ns, 6.2500 ns/op
WorkloadPilot    6: 512 op, 2500.00 ns, 4.8828 ns/op
WorkloadPilot    7: 1024 op, 4200.00 ns, 4.1016 ns/op
WorkloadPilot    8: 2048 op, 7700.00 ns, 3.7598 ns/op
WorkloadPilot    9: 4096 op, 13400.00 ns, 3.2715 ns/op
WorkloadPilot   10: 8192 op, 26400.00 ns, 3.2227 ns/op
WorkloadPilot   11: 16384 op, 51600.00 ns, 3.1494 ns/op
WorkloadPilot   12: 32768 op, 101300.00 ns, 3.0914 ns/op
WorkloadPilot   13: 65536 op, 207000.00 ns, 3.1586 ns/op
WorkloadPilot   14: 131072 op, 410000.00 ns, 3.1281 ns/op
WorkloadPilot   15: 262144 op, 815100.00 ns, 3.1094 ns/op
WorkloadPilot   16: 524288 op, 1702600.00 ns, 3.2475 ns/op
WorkloadPilot   17: 1048576 op, 3253600.00 ns, 3.1029 ns/op
WorkloadPilot   18: 2097152 op, 6289700.00 ns, 2.9992 ns/op
WorkloadPilot   19: 4194304 op, 12714900.00 ns, 3.0315 ns/op
WorkloadPilot   20: 8388608 op, 22684900.00 ns, 2.7043 ns/op
WorkloadPilot   21: 16777216 op, 48303300.00 ns, 2.8791 ns/op
WorkloadPilot   22: 33554432 op, 95878800.00 ns, 2.8574 ns/op
WorkloadPilot   23: 67108864 op, 190228500.00 ns, 2.8346 ns/op
WorkloadPilot   24: 134217728 op, 399659900.00 ns, 2.9777 ns/op
WorkloadPilot   25: 268435456 op, 731128000.00 ns, 2.7237 ns/op

OverheadWarmup   1: 268435456 op, 551312400.00 ns, 2.0538 ns/op
OverheadWarmup   2: 268435456 op, 627263600.00 ns, 2.3367 ns/op
OverheadWarmup   3: 268435456 op, 577807300.00 ns, 2.1525 ns/op
OverheadWarmup   4: 268435456 op, 602812800.00 ns, 2.2457 ns/op
OverheadWarmup   5: 268435456 op, 598565000.00 ns, 2.2298 ns/op

OverheadActual   1: 268435456 op, 546768000.00 ns, 2.0369 ns/op
OverheadActual   2: 268435456 op, 557004800.00 ns, 2.0750 ns/op
OverheadActual   3: 268435456 op, 554254600.00 ns, 2.0648 ns/op
OverheadActual   4: 268435456 op, 547409100.00 ns, 2.0393 ns/op
OverheadActual   5: 268435456 op, 556332900.00 ns, 2.0725 ns/op
OverheadActual   6: 268435456 op, 613708600.00 ns, 2.2862 ns/op
OverheadActual   7: 268435456 op, 555047100.00 ns, 2.0677 ns/op
OverheadActual   8: 268435456 op, 557057000.00 ns, 2.0752 ns/op
OverheadActual   9: 268435456 op, 593812900.00 ns, 2.2121 ns/op
OverheadActual  10: 268435456 op, 608232200.00 ns, 2.2658 ns/op
OverheadActual  11: 268435456 op, 566364600.00 ns, 2.1099 ns/op
OverheadActual  12: 268435456 op, 612185800.00 ns, 2.2806 ns/op
OverheadActual  13: 268435456 op, 574097800.00 ns, 2.1387 ns/op
OverheadActual  14: 268435456 op, 590307800.00 ns, 2.1991 ns/op
OverheadActual  15: 268435456 op, 557270500.00 ns, 2.0760 ns/op

WorkloadWarmup   1: 268435456 op, 825899300.00 ns, 3.0767 ns/op
WorkloadWarmup   2: 268435456 op, 815746400.00 ns, 3.0389 ns/op
WorkloadWarmup   3: 268435456 op, 742297900.00 ns, 2.7653 ns/op
WorkloadWarmup   4: 268435456 op, 745656500.00 ns, 2.7778 ns/op
WorkloadWarmup   5: 268435456 op, 791577100.00 ns, 2.9489 ns/op
WorkloadWarmup   6: 268435456 op, 860506200.00 ns, 3.2056 ns/op
WorkloadWarmup   7: 268435456 op, 790465000.00 ns, 2.9447 ns/op
WorkloadWarmup   8: 268435456 op, 815096500.00 ns, 3.0365 ns/op
WorkloadWarmup   9: 268435456 op, 797124000.00 ns, 2.9695 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 872576000.00 ns, 3.2506 ns/op
WorkloadActual   2: 268435456 op, 1035634500.00 ns, 3.8580 ns/op
WorkloadActual   3: 268435456 op, 1085473400.00 ns, 4.0437 ns/op
WorkloadActual   4: 268435456 op, 1078273900.00 ns, 4.0169 ns/op
WorkloadActual   5: 268435456 op, 1042921500.00 ns, 3.8852 ns/op
