// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\5e2ca1c1-4cf9-4a7f-a941-b4c5ccf2dacd.bat
// ***** Done, took 00:00:05 (5.66 sec)   *****
// Found 1 benchmarks:
//   RNEntero.Primo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\5e2ca1c1-4cf9-4a7f-a941-b4c5ccf2dacd.exe --anonymousPipes 1548 1500 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 349800.00 ns, 349.8000 us/op
WorkloadJitting  1: 1 op, 273200.00 ns, 273.2000 us/op

OverheadJitting  2: 16 op, 697800.00 ns, 43.6125 us/op
WorkloadJitting  2: 16 op, 828400.00 ns, 51.7750 us/op

WorkloadPilot    1: 16 op, 12300.00 ns, 768.7500 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 800.00 ns, 12.5000 ns/op
WorkloadPilot    4: 128 op, 1400.00 ns, 10.9375 ns/op
WorkloadPilot    5: 256 op, 1400.00 ns, 5.4688 ns/op
WorkloadPilot    6: 512 op, 2400.00 ns, 4.6875 ns/op
WorkloadPilot    7: 1024 op, 3500.00 ns, 3.4180 ns/op
WorkloadPilot    8: 2048 op, 7000.00 ns, 3.4180 ns/op
WorkloadPilot    9: 4096 op, 16500.00 ns, 4.0283 ns/op
WorkloadPilot   10: 8192 op, 26000.00 ns, 3.1738 ns/op
WorkloadPilot   11: 16384 op, 51400.00 ns, 3.1372 ns/op
WorkloadPilot   12: 32768 op, 103400.00 ns, 3.1555 ns/op
WorkloadPilot   13: 65536 op, 204300.00 ns, 3.1174 ns/op
WorkloadPilot   14: 131072 op, 739100.00 ns, 5.6389 ns/op
WorkloadPilot   15: 262144 op, 1102000.00 ns, 4.2038 ns/op
WorkloadPilot   16: 524288 op, 1850300.00 ns, 3.5292 ns/op
WorkloadPilot   17: 1048576 op, 3425700.00 ns, 3.2670 ns/op
WorkloadPilot   18: 2097152 op, 6812500.00 ns, 3.2485 ns/op
WorkloadPilot   19: 4194304 op, 13103600.00 ns, 3.1241 ns/op
WorkloadPilot   20: 8388608 op, 25891000.00 ns, 3.0864 ns/op
WorkloadPilot   21: 16777216 op, 51162200.00 ns, 3.0495 ns/op
WorkloadPilot   22: 33554432 op, 104629200.00 ns, 3.1182 ns/op
WorkloadPilot   23: 67108864 op, 204606000.00 ns, 3.0489 ns/op
WorkloadPilot   24: 134217728 op, 421682600.00 ns, 3.1418 ns/op
WorkloadPilot   25: 268435456 op, 819214200.00 ns, 3.0518 ns/op

OverheadWarmup   1: 268435456 op, 629840400.00 ns, 2.3463 ns/op
OverheadWarmup   2: 268435456 op, 679368300.00 ns, 2.5308 ns/op
OverheadWarmup   3: 268435456 op, 689829200.00 ns, 2.5698 ns/op
OverheadWarmup   4: 268435456 op, 652228800.00 ns, 2.4297 ns/op
OverheadWarmup   5: 268435456 op, 613847400.00 ns, 2.2868 ns/op
OverheadWarmup   6: 268435456 op, 612385200.00 ns, 2.2813 ns/op
OverheadWarmup   7: 268435456 op, 623009800.00 ns, 2.3209 ns/op
OverheadWarmup   8: 268435456 op, 602274200.00 ns, 2.2436 ns/op

OverheadActual   1: 268435456 op, 615228300.00 ns, 2.2919 ns/op
OverheadActual   2: 268435456 op, 605384400.00 ns, 2.2552 ns/op
OverheadActual   3: 268435456 op, 627752700.00 ns, 2.3386 ns/op
OverheadActual   4: 268435456 op, 595605300.00 ns, 2.2188 ns/op
OverheadActual   5: 268435456 op, 634868400.00 ns, 2.3651 ns/op
OverheadActual   6: 268435456 op, 631964200.00 ns, 2.3543 ns/op
OverheadActual   7: 268435456 op, 603948200.00 ns, 2.2499 ns/op
OverheadActual   8: 268435456 op, 622979900.00 ns, 2.3208 ns/op
OverheadActual   9: 268435456 op, 615206900.00 ns, 2.2918 ns/op
OverheadActual  10: 268435456 op, 664041600.00 ns, 2.4737 ns/op
OverheadActual  11: 268435456 op, 634134600.00 ns, 2.3623 ns/op
OverheadActual  12: 268435456 op, 630074000.00 ns, 2.3472 ns/op
OverheadActual  13: 268435456 op, 625220400.00 ns, 2.3291 ns/op
OverheadActual  14: 268435456 op, 656899500.00 ns, 2.4471 ns/op
OverheadActual  15: 268435456 op, 630593800.00 ns, 2.3491 ns/op

WorkloadWarmup   1: 268435456 op, 792320700.00 ns, 2.9516 ns/op
WorkloadWarmup   2: 268435456 op, 787689400.00 ns, 2.9344 ns/op
WorkloadWarmup   3: 268435456 op, 811047400.00 ns, 3.0214 ns/op
WorkloadWarmup   4: 268435456 op, 815323700.00 ns, 3.0373 ns/op
WorkloadWarmup   5: 268435456 op, 822254700.00 ns, 3.0631 ns/op
WorkloadWarmup   6: 268435456 op, 805924200.00 ns, 3.0023 ns/op
WorkloadWarmup   7: 268435456 op, 800704200.00 ns, 2.9829 ns/op
WorkloadWarmup   8: 268435456 op, 811784000.00 ns, 3.0241 ns/op
WorkloadWarmup   9: 268435456 op, 796825200.00 ns, 2.9684 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 986224100.00 ns, 3.6740 ns/op
WorkloadActual   2: 268435456 op, 1056332500.00 ns, 3.9351 ns/op
WorkloadActual   3: 268435456 op, 1056431100.00 ns, 3.9355 ns/op
