// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\6f995bf8-6cfc-48a2-b160-2e43d3794abc.bat
// ***** Done, took 00:00:05 (5.85 sec)   *****
// Found 2 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\6f995bf8-6cfc-48a2-b160-2e43d3794abc.exe --anonymousPipes 1552 1548 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 414600.00 ns, 414.6000 us/op
WorkloadJitting  1: 1 op, 339200.00 ns, 339.2000 us/op

OverheadJitting  2: 16 op, 848500.00 ns, 53.0313 us/op
WorkloadJitting  2: 16 op, 913600.00 ns, 57.1000 us/op

WorkloadPilot    1: 16 op, 46200.00 ns, 2.8875 us/op
WorkloadPilot    2: 32 op, 1100.00 ns, 34.3750 ns/op
WorkloadPilot    3: 64 op, 1000.00 ns, 15.6250 ns/op
WorkloadPilot    4: 128 op, 2900.00 ns, 22.6563 ns/op
WorkloadPilot    5: 256 op, 1900.00 ns, 7.4219 ns/op
WorkloadPilot    6: 512 op, 2200.00 ns, 4.2969 ns/op
WorkloadPilot    7: 1024 op, 4300.00 ns, 4.1992 ns/op
WorkloadPilot    8: 2048 op, 7300.00 ns, 3.5645 ns/op
WorkloadPilot    9: 4096 op, 13800.00 ns, 3.3691 ns/op
WorkloadPilot   10: 8192 op, 27400.00 ns, 3.3447 ns/op
WorkloadPilot   11: 16384 op, 51700.00 ns, 3.1555 ns/op
WorkloadPilot   12: 32768 op, 103300.00 ns, 3.1525 ns/op
WorkloadPilot   13: 65536 op, 209000.00 ns, 3.1891 ns/op
WorkloadPilot   14: 131072 op, 448500.00 ns, 3.4218 ns/op
WorkloadPilot   15: 262144 op, 821000.00 ns, 3.1319 ns/op
WorkloadPilot   16: 524288 op, 1832100.00 ns, 3.4945 ns/op
WorkloadPilot   17: 1048576 op, 3660700.00 ns, 3.4911 ns/op
WorkloadPilot   18: 2097152 op, 6934200.00 ns, 3.3065 ns/op
WorkloadPilot   19: 4194304 op, 13230600.00 ns, 3.1544 ns/op
WorkloadPilot   20: 8388608 op, 26596900.00 ns, 3.1706 ns/op
WorkloadPilot   21: 16777216 op, 50596400.00 ns, 3.0158 ns/op
WorkloadPilot   22: 33554432 op, 102638800.00 ns, 3.0589 ns/op
WorkloadPilot   23: 67108864 op, 203416700.00 ns, 3.0311 ns/op
WorkloadPilot   24: 134217728 op, 401361400.00 ns, 2.9904 ns/op
WorkloadPilot   25: 268435456 op, 795548800.00 ns, 2.9637 ns/op

OverheadWarmup   1: 268435456 op, 650827900.00 ns, 2.4245 ns/op
OverheadWarmup   2: 268435456 op, 597549600.00 ns, 2.2260 ns/op
OverheadWarmup   3: 268435456 op, 626777300.00 ns, 2.3349 ns/op
OverheadWarmup   4: 268435456 op, 625401900.00 ns, 2.3298 ns/op
OverheadWarmup   5: 268435456 op, 639634900.00 ns, 2.3828 ns/op
OverheadWarmup   6: 268435456 op, 600650800.00 ns, 2.2376 ns/op

OverheadActual   1: 268435456 op, 619650600.00 ns, 2.3084 ns/op
OverheadActual   2: 268435456 op, 596106800.00 ns, 2.2207 ns/op
OverheadActual   3: 268435456 op, 595991400.00 ns, 2.2202 ns/op
OverheadActual   4: 268435456 op, 627380200.00 ns, 2.3372 ns/op
OverheadActual   5: 268435456 op, 622849500.00 ns, 2.3203 ns/op
OverheadActual   6: 268435456 op, 593363400.00 ns, 2.2105 ns/op
OverheadActual   7: 268435456 op, 577466500.00 ns, 2.1512 ns/op
OverheadActual   8: 268435456 op, 615172600.00 ns, 2.2917 ns/op
OverheadActual   9: 268435456 op, 587937900.00 ns, 2.1902 ns/op
OverheadActual  10: 268435456 op, 587115000.00 ns, 2.1872 ns/op
OverheadActual  11: 268435456 op, 612236800.00 ns, 2.2808 ns/op
OverheadActual  12: 268435456 op, 613414200.00 ns, 2.2851 ns/op
OverheadActual  13: 268435456 op, 592361400.00 ns, 2.2067 ns/op
OverheadActual  14: 268435456 op, 600194400.00 ns, 2.2359 ns/op
OverheadActual  15: 268435456 op, 585871000.00 ns, 2.1825 ns/op

WorkloadWarmup   1: 268435456 op, 823441200.00 ns, 3.0676 ns/op
WorkloadWarmup   2: 268435456 op, 831434000.00 ns, 3.0973 ns/op
WorkloadWarmup   3: 268435456 op, 837269200.00 ns, 3.1191 ns/op
WorkloadWarmup   4: 268435456 op, 850607600.00 ns, 3.1688 ns/op
WorkloadWarmup   5: 268435456 op, 832004600.00 ns, 3.0995 ns/op
WorkloadWarmup   6: 268435456 op, 823412800.00 ns, 3.0675 ns/op
WorkloadWarmup   7: 268435456 op, 819543800.00 ns, 3.0530 ns/op
WorkloadWarmup   8: 268435456 op, 790324900.00 ns, 2.9442 ns/op
WorkloadWarmup   9: 268435456 op, 807676800.00 ns, 3.0088 ns/op
WorkloadWarmup  10: 268435456 op, 1032615800.00 ns, 3.8468 ns/op
WorkloadWarmup  11: 268435456 op, 1059694600.00 ns, 3.9477 ns/op
WorkloadWarmup  12: 268435456 op, 1066982800.00 ns, 3.9748 ns/op
WorkloadWarmup  13: 268435456 op, 1041458800.00 ns, 3.8797 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 1277663400.00 ns, 4.7597 ns/op
