// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\b163eede-1154-4373-9167-803cb81ad87b.bat
// ***** Done, took 00:00:05 (5.95 sec)   *****
// Found 3 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob
//   RNEntero.PrimoMultinucleo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\b163eede-1154-4373-9167-803cb81ad87b.exe --anonymousPipes 1580 1576 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 295800.00 ns, 295.8000 us/op
WorkloadJitting  1: 1 op, 460300.00 ns, 460.3000 us/op

OverheadJitting  2: 16 op, 1061700.00 ns, 66.3563 us/op
WorkloadJitting  2: 16 op, 789600.00 ns, 49.3500 us/op

WorkloadPilot    1: 16 op, 8300.00 ns, 518.7500 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 700.00 ns, 10.9375 ns/op
WorkloadPilot    4: 128 op, 1400.00 ns, 10.9375 ns/op
WorkloadPilot    5: 256 op, 1900.00 ns, 7.4219 ns/op
WorkloadPilot    6: 512 op, 2300.00 ns, 4.4922 ns/op
WorkloadPilot    7: 1024 op, 3500.00 ns, 3.4180 ns/op
WorkloadPilot    8: 2048 op, 8700.00 ns, 4.2480 ns/op
WorkloadPilot    9: 4096 op, 12800.00 ns, 3.1250 ns/op
WorkloadPilot   10: 8192 op, 25500.00 ns, 3.1128 ns/op
WorkloadPilot   11: 16384 op, 50500.00 ns, 3.0823 ns/op
WorkloadPilot   12: 32768 op, 102000.00 ns, 3.1128 ns/op
WorkloadPilot   13: 65536 op, 208500.00 ns, 3.1815 ns/op
WorkloadPilot   14: 131072 op, 404900.00 ns, 3.0891 ns/op
WorkloadPilot   15: 262144 op, 849800.00 ns, 3.2417 ns/op
WorkloadPilot   16: 524288 op, 1611800.00 ns, 3.0743 ns/op
WorkloadPilot   17: 1048576 op, 3312300.00 ns, 3.1589 ns/op
WorkloadPilot   18: 2097152 op, 5773600.00 ns, 2.7531 ns/op
WorkloadPilot   19: 4194304 op, 12751600.00 ns, 3.0402 ns/op
WorkloadPilot   20: 8388608 op, 25474300.00 ns, 3.0368 ns/op
WorkloadPilot   21: 16777216 op, 53626300.00 ns, 3.1964 ns/op
WorkloadPilot   22: 33554432 op, 107240700.00 ns, 3.1960 ns/op
WorkloadPilot   23: 67108864 op, 193924000.00 ns, 2.8897 ns/op
WorkloadPilot   24: 134217728 op, 392992300.00 ns, 2.9280 ns/op
WorkloadPilot   25: 268435456 op, 779471500.00 ns, 2.9038 ns/op

OverheadWarmup   1: 268435456 op, 632496100.00 ns, 2.3562 ns/op
OverheadWarmup   2: 268435456 op, 596326000.00 ns, 2.2215 ns/op
OverheadWarmup   3: 268435456 op, 595664200.00 ns, 2.2190 ns/op
OverheadWarmup   4: 268435456 op, 590191600.00 ns, 2.1986 ns/op
OverheadWarmup   5: 268435456 op, 604593200.00 ns, 2.2523 ns/op
OverheadWarmup   6: 268435456 op, 610026300.00 ns, 2.2725 ns/op
OverheadWarmup   7: 268435456 op, 584881600.00 ns, 2.1789 ns/op
OverheadWarmup   8: 268435456 op, 601439700.00 ns, 2.2405 ns/op
OverheadWarmup   9: 268435456 op, 597233900.00 ns, 2.2249 ns/op

OverheadActual   1: 268435456 op, 610558700.00 ns, 2.2745 ns/op
OverheadActual   2: 268435456 op, 597014700.00 ns, 2.2241 ns/op
OverheadActual   3: 268435456 op, 594310800.00 ns, 2.2140 ns/op
OverheadActual   4: 268435456 op, 593631700.00 ns, 2.2115 ns/op
OverheadActual   5: 268435456 op, 609537600.00 ns, 2.2707 ns/op
OverheadActual   6: 268435456 op, 595376900.00 ns, 2.2180 ns/op
OverheadActual   7: 268435456 op, 603149700.00 ns, 2.2469 ns/op
OverheadActual   8: 268435456 op, 606953300.00 ns, 2.2611 ns/op
OverheadActual   9: 268435456 op, 597976000.00 ns, 2.2276 ns/op
OverheadActual  10: 268435456 op, 596809900.00 ns, 2.2233 ns/op
OverheadActual  11: 268435456 op, 592414200.00 ns, 2.2069 ns/op
OverheadActual  12: 268435456 op, 585575100.00 ns, 2.1814 ns/op
OverheadActual  13: 268435456 op, 592693000.00 ns, 2.2080 ns/op
OverheadActual  14: 268435456 op, 602285500.00 ns, 2.2437 ns/op
OverheadActual  15: 268435456 op, 624624100.00 ns, 2.3269 ns/op

WorkloadWarmup   1: 268435456 op, 792618500.00 ns, 2.9527 ns/op
WorkloadWarmup   2: 268435456 op, 802268300.00 ns, 2.9887 ns/op
WorkloadWarmup   3: 268435456 op, 740855000.00 ns, 2.7599 ns/op
WorkloadWarmup   4: 268435456 op, 755294800.00 ns, 2.8137 ns/op
WorkloadWarmup   5: 268435456 op, 818091300.00 ns, 3.0476 ns/op
WorkloadWarmup   6: 268435456 op, 801524300.00 ns, 2.9859 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 801539200.00 ns, 2.9860 ns/op
WorkloadActual   2: 268435456 op, 786211200.00 ns, 2.9289 ns/op
WorkloadActual   3: 268435456 op, 788623200.00 ns, 2.9379 ns/op
WorkloadActual   4: 268435456 op, 791156700.00 ns, 2.9473 ns/op
WorkloadActual   5: 268435456 op, 765341000.00 ns, 2.8511 ns/op
