// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Aplicaciones 2024\ProgramacionIV\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\bd5d2a7a-98e9-473f-865f-a1f5ccec5b0c.bat
// ***** Done, took 00:00:06 (6.07 sec)   *****
// Found 3 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob
//   RNEntero.PrimoMultinucleo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Aplicaciones 2024\ProgramacionIV\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\bd5d2a7a-98e9-473f-865f-a1f5ccec5b0c.exe --anonymousPipes 1600 1584 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 373100.00 ns, 373.1000 us/op
WorkloadJitting  1: 1 op, 402900.00 ns, 402.9000 us/op

OverheadJitting  2: 16 op, 861600.00 ns, 53.8500 us/op
WorkloadJitting  2: 16 op, 1139500.00 ns, 71.2188 us/op

WorkloadPilot    1: 16 op, 5400.00 ns, 337.5000 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 1100.00 ns, 17.1875 ns/op
WorkloadPilot    4: 128 op, 1300.00 ns, 10.1563 ns/op
WorkloadPilot    5: 256 op, 1200.00 ns, 4.6875 ns/op
WorkloadPilot    6: 512 op, 2500.00 ns, 4.8828 ns/op
WorkloadPilot    7: 1024 op, 3700.00 ns, 3.6133 ns/op
WorkloadPilot    8: 2048 op, 7300.00 ns, 3.5645 ns/op
WorkloadPilot    9: 4096 op, 95000.00 ns, 23.1934 ns/op
WorkloadPilot   10: 8192 op, 25900.00 ns, 3.1616 ns/op
WorkloadPilot   11: 16384 op, 50500.00 ns, 3.0823 ns/op
WorkloadPilot   12: 32768 op, 103000.00 ns, 3.1433 ns/op
WorkloadPilot   13: 65536 op, 207100.00 ns, 3.1601 ns/op
WorkloadPilot   14: 131072 op, 426400.00 ns, 3.2532 ns/op
WorkloadPilot   15: 262144 op, 810500.00 ns, 3.0918 ns/op
WorkloadPilot   16: 524288 op, 1627600.00 ns, 3.1044 ns/op
WorkloadPilot   17: 1048576 op, 3321500.00 ns, 3.1676 ns/op
WorkloadPilot   18: 2097152 op, 6995000.00 ns, 3.3355 ns/op
WorkloadPilot   19: 4194304 op, 13281600.00 ns, 3.1666 ns/op
WorkloadPilot   20: 8388608 op, 22729200.00 ns, 2.7095 ns/op
WorkloadPilot   21: 16777216 op, 44007700.00 ns, 2.6231 ns/op
WorkloadPilot   22: 33554432 op, 94619400.00 ns, 2.8199 ns/op
WorkloadPilot   23: 67108864 op, 194224000.00 ns, 2.8942 ns/op
WorkloadPilot   24: 134217728 op, 395287400.00 ns, 2.9451 ns/op
WorkloadPilot   25: 268435456 op, 827698700.00 ns, 3.0834 ns/op

OverheadWarmup   1: 268435456 op, 584497600.00 ns, 2.1774 ns/op
OverheadWarmup   2: 268435456 op, 551491900.00 ns, 2.0545 ns/op
OverheadWarmup   3: 268435456 op, 627248800.00 ns, 2.3367 ns/op
OverheadWarmup   4: 268435456 op, 622355200.00 ns, 2.3185 ns/op
OverheadWarmup   5: 268435456 op, 554399000.00 ns, 2.0653 ns/op
OverheadWarmup   6: 268435456 op, 619122100.00 ns, 2.3064 ns/op
OverheadWarmup   7: 268435456 op, 571387900.00 ns, 2.1286 ns/op

OverheadActual   1: 268435456 op, 614390100.00 ns, 2.2888 ns/op
OverheadActual   2: 268435456 op, 545516000.00 ns, 2.0322 ns/op
OverheadActual   3: 268435456 op, 593674100.00 ns, 2.2116 ns/op
OverheadActual   4: 268435456 op, 559111500.00 ns, 2.0829 ns/op
OverheadActual   5: 268435456 op, 629064700.00 ns, 2.3434 ns/op
OverheadActual   6: 268435456 op, 552672400.00 ns, 2.0589 ns/op
OverheadActual   7: 268435456 op, 552226900.00 ns, 2.0572 ns/op
OverheadActual   8: 268435456 op, 547108500.00 ns, 2.0381 ns/op
OverheadActual   9: 268435456 op, 555840800.00 ns, 2.0707 ns/op
OverheadActual  10: 268435456 op, 554495100.00 ns, 2.0657 ns/op
OverheadActual  11: 268435456 op, 580141800.00 ns, 2.1612 ns/op
OverheadActual  12: 268435456 op, 575889200.00 ns, 2.1454 ns/op
OverheadActual  13: 268435456 op, 606702400.00 ns, 2.2601 ns/op
OverheadActual  14: 268435456 op, 625751700.00 ns, 2.3311 ns/op
OverheadActual  15: 268435456 op, 612686500.00 ns, 2.2824 ns/op
OverheadActual  16: 268435456 op, 555480100.00 ns, 2.0693 ns/op
OverheadActual  17: 268435456 op, 613241100.00 ns, 2.2845 ns/op
OverheadActual  18: 268435456 op, 636726600.00 ns, 2.3720 ns/op
OverheadActual  19: 268435456 op, 638498600.00 ns, 2.3786 ns/op
OverheadActual  20: 268435456 op, 609778500.00 ns, 2.2716 ns/op

WorkloadWarmup   1: 268435456 op, 802857800.00 ns, 2.9909 ns/op
WorkloadWarmup   2: 268435456 op, 717111500.00 ns, 2.6714 ns/op
WorkloadWarmup   3: 268435456 op, 779315100.00 ns, 2.9032 ns/op
WorkloadWarmup   4: 268435456 op, 761233300.00 ns, 2.8358 ns/op
WorkloadWarmup   5: 268435456 op, 795303600.00 ns, 2.9627 ns/op
WorkloadWarmup   6: 268435456 op, 716158200.00 ns, 2.6679 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 776031600.00 ns, 2.8909 ns/op
